"Fiscal_Year","Country","HE.Provider","Level.Of.Study","Mode.Of..Study","Academic.Year","Visa.Code","Visa.Fee....","Visa.NHS.Charge....","Visa.After.Graduation","Visa.Work.Requirements.After.Graduation","Salary.Requirements","Dependents.Allowed","Visa.Fee..Dependents","Visa.NHS.Charge.Depen","Growth.Indicator","Enrollment","Value","Tuition_Av","FX_Rate"
"2014","China","The University of Strathclyde","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","GDP ",120,7.43,13500,10.155
"2014","China","The University of Strathclyde","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","Inflation ",120,1.03,13500,10.155
"2014","China","The University of the West of Scotland","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","GDP ",1380,7.43,12750,10.155
"2014","China","The University of the West of Scotland","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","Inflation ",1380,1.03,12750,10.155
"2014","China","The University of the West of Scotland","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","GDP ",660,7.43,12750,10.155
"2014","China","The University of the West of Scotland","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","Inflation ",660,1.03,12750,10.155
"2014","China","University of the Highlands and Islands","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","GDP ",0,7.43,12000,10.155
"2014","China","University of the Highlands and Islands","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","Inflation ",0,1.03,12000,10.155
"2014","China","University of the Highlands and Islands","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","GDP ",0,7.43,12000,10.155
"2014","China","University of the Highlands and Islands","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","Inflation ",0,1.03,12000,10.155
"2014","Gambia","Abertay University","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","GDP ",0,-1.41,13000,65.97
"2014","Gambia","Abertay University","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","Inflation ",0,5.21,13000,65.97
"2014","Gambia","Abertay University","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","GDP ",0,-1.41,13000,65.97
"2014","Gambia","Abertay University","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","Inflation ",0,5.21,13000,65.97
"2014","Gambia","Edinburgh Napier University","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","GDP ",0,-1.41,14000,65.97
"2014","Gambia","Edinburgh Napier University","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","Inflation ",0,5.21,14000,65.97
"2014","Gambia","Edinburgh Napier University","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","GDP ",0,-1.41,14000,65.97
"2014","Gambia","Edinburgh Napier University","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","Inflation ",0,5.21,14000,65.97
"2014","Gambia","Glasgow Caledonian University","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","GDP ",0,-1.41,14500,65.97
"2014","Gambia","Glasgow Caledonian University","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","Inflation ",0,5.21,14500,65.97
"2014","Gambia","Glasgow Caledonian University","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","GDP ",0,-1.41,14500,65.97
"2014","Gambia","Glasgow Caledonian University","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","Inflation ",0,5.21,14500,65.97
"2014","Gambia","Glasgow School of Art","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","GDP ",0,-1.41,17500,65.97
"2014","Gambia","Glasgow School of Art","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","Inflation ",0,5.21,17500,65.97
"2014","Gambia","Glasgow School of Art","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","GDP ",0,-1.41,17500,65.97
