Average weekly BID rates @ +/- 0.0%,,,,
OANDA Exchange Rates,,,,
https://fxds-hcc.oanda.com,,,,
,,,,
,,,,
Period Start Date,GBP/LYD,,GBP/CDF,
17/12/2018,1.74651,1.786392,1993.85,2048.606
10/12/2018,1.74198,1.782835,1981.53,2056.535
03/12/2018,1.75949,1.763625,1997.58,2020.435
26/11/2018,1.76655,1.792518,2002.97,2069.264
19/11/2018,1.76872,1.7955225,2010.38,2089.6975
12/11/2018,1.7821,1.8096175,2018.68,2112.3825
05/11/2018,1.79933,1.848966,2044.6,2199.23
29/10/2018,1.77894,1.8443625,2019.44,2200.5125
22/10/2018,1.77004,1.84031,2023.05,2186.665
15/10/2018,1.79661,1.844288,2067.19,2171.142
08/10/2018,1.79785,,2075.4,
01/10/2018,1.78852,,2057.95,
24/09/2018,1.7871,,2065.98,
17/09/2018,1.79569,,2072.73,
10/09/2018,1.78706,,2057.84,
03/09/2018,1.76149,,2029.59,
27/08/2018,1.76694,,2036.08,
20/08/2018,1.76755,,2020.09,
13/08/2018,1.75781,,2002.91,
06/08/2018,1.7622,,2022.66,
30/07/2018,1.78741,,2054.87,
23/07/2018,1.78351,,2064.86,
16/07/2018,1.79106,,2064.22,
09/07/2018,1.79883,,2081.78,
02/07/2018,1.80178,,2080.59,
25/06/2018,1.79653,,2074.92,
18/06/2018,1.78232,,2080.84,
11/06/2018,1.79893,,2096.21,
04/06/2018,1.80431,,2106.82,
28/05/2018,1.80218,,2093.86,
21/05/2018,1.80511,,2101.71,
14/05/2018,1.81288,,2124.05,
07/05/2018,1.8183,,2129.91,
30/04/2018,1.81802,,2140.24,
23/04/2018,1.84118,,2184.41,
16/04/2018,1.86253,,2226.53,
09/04/2018,1.86921,,2233.21,
02/04/2018,1.85389,,2211.76,
26/03/2018,1.85358,,2216.03,
19/03/2018,1.85881,,2215.41,
12/03/2018,1.83473,,2192.11,
05/03/2018,1.83033,,2178.5,
26/02/2018,1.83299,,2178.15,
19/02/2018,1.84498,,2193.8,
12/02/2018,1.84531,,2190.76,
05/02/2018,1.83796,,2183.95,
29/01/2018,1.86539,,2218.61,
22/01/2018,1.86894,,2212.6,
15/01/2018,1.83753,,2168.35,
08/01/2018,1.82809,,2131.45,
01/01/2018,1.82149,,2124.7,
25/12/2017,1.81341,1.813245,2106.29,2100.285
18/12/2017,1.81111,1.78252,2097.43,2063.205
11/12/2017,1.81223,1.776178,2096.02,2052.498
04/12/2017,1.81623,1.78976,2101.4,2067.04
27/11/2017,1.79852,1.734555,2081.67,2025.205
20/11/2017,1.78413,1.77034,2062.18,2010.464
13/11/2017,1.77269,1.7600075,2059.4,1838.875
06/11/2017,1.77474,1.782542,2049.57,1801.442
30/10/2017,1.77852,1.7625025,2049.31,1717.4725
23/10/2017,1.774,1.729835,2053.63,1618.885
