4 way domicile,Domicile,Level of study,Mode of study,Academic Year,Region of HE provider,Number
Non-European Union,Congo,Postgraduate (research),Full-time,2014/15,Scotland,0
Non-European Union,Congo,Postgraduate (research),All,2014/15,Scotland,0
Non-European Union,Congo,Postgraduate (taught),Full-time,2014/15,Scotland,0
Non-European Union,Congo,Postgraduate (taught),All,2014/15,Scotland,0
Non-European Union,Congo,All postgraduate,Full-time,2014/15,Scotland,0
Non-European Union,Congo,All postgraduate,All,2014/15,Scotland,0
Non-European Union,Congo (Democratic Republic) {formerly Zaire},Postgraduate (research),Full-time,2014/15,Scotland,0
Non-European Union,Congo (Democratic Republic) {formerly Zaire},Postgraduate (research),Part-time,2014/15,Scotland,0
Non-European Union,Congo (Democratic Republic) {formerly Zaire},Postgraduate (research),All,2014/15,Scotland,0
Non-European Union,Congo (Democratic Republic) {formerly Zaire},Postgraduate (taught),Full-time,2014/15,Scotland,0
Non-European Union,Congo (Democratic Republic) {formerly Zaire},Postgraduate (taught),Part-time,2014/15,Scotland,0
Non-European Union,Congo (Democratic Republic) {formerly Zaire},Postgraduate (taught),All,2014/15,Scotland,0
Non-European Union,Congo (Democratic Republic) {formerly Zaire},All postgraduate,Full-time,2014/15,Scotland,0
Non-European Union,Congo (Democratic Republic) {formerly Zaire},All postgraduate,Part-time,2014/15,Scotland,0
Non-European Union,Congo (Democratic Republic) {formerly Zaire},All postgraduate,All,2014/15,Scotland,0
Non-European Union,Ghana,Postgraduate (research),Full-time,2014/15,Scotland,35
Non-European Union,Ghana,Postgraduate (research),Part-time,2014/15,Scotland,5
Non-European Union,Ghana,Postgraduate (research),All,2014/15,Scotland,40
Non-European Union,Ghana,Postgraduate (taught),Full-time,2014/15,Scotland,150
Non-European Union,Ghana,Postgraduate (taught),Part-time,2014/15,Scotland,15
Non-European Union,Ghana,Postgraduate (taught),All,2014/15,Scotland,170
Non-European Union,Ghana,All postgraduate,Full-time,2014/15,Scotland,185
Non-European Union,Ghana,All postgraduate,Part-time,2014/15,Scotland,20
Non-European Union,Ghana,All postgraduate,All,2014/15,Scotland,205
Non-European Union,Nigeria,Postgraduate (research),Full-time,2014/15,Scotland,325
Non-European Union,Nigeria,Postgraduate (research),Part-time,2014/15,Scotland,25
Non-European Union,Nigeria,Postgraduate (research),All,2014/15,Scotland,345
Non-European Union,Nigeria,Postgraduate (taught),Full-time,2014/15,Scotland,1015
Non-European Union,Nigeria,Postgraduate (taught),Part-time,2014/15,Scotland,145
Non-European Union,Nigeria,Postgraduate (taught),All,2014/15,Scotland,1160
Non-European Union,Nigeria,All postgraduate,Full-time,2014/15,Scotland,1340
Non-European Union,Nigeria,All postgraduate,Part-time,2014/15,Scotland,170
Non-European Union,Nigeria,All postgraduate,All,2014/15,Scotland,1505
Non-European Union,China,Postgraduate (research),Full-time,2014/15,Scotland,535
Non-European Union,China,Postgraduate (research),Part-time,2014/15,Scotland,20
Non-European Union,China,Postgraduate (research),All,2014/15,Scotland,555
Non-European Union,China,Postgraduate (taught),Full-time,2014/15,Scotland,4450
Non-European Union,China,Postgraduate (taught),Part-time,2014/15,Scotland,70
Non-European Union,China,Postgraduate (taught),All,2014/15,Scotland,4515
Non-European Union,China,All postgraduate,Full-time,2014/15,Scotland,4985
Non-European Union,China,All postgraduate,Part-time,2014/15,Scotland,90
Non-European Union,China,All postgraduate,All,2014/15,Scotland,5075
Non-European Union,Kenya,Postgraduate (research),Full-time,2014/15,Scotland,10
Non-European Union,Kenya,Postgraduate (research),Part-time,2014/15,Scotland,5
Non-European Union,Kenya,Postgraduate (research),All,2014/15,Scotland,15
Non-European Union,Kenya,Postgraduate (taught),Full-time,2014/15,Scotland,75
Non-European Union,Kenya,Postgraduate (taught),Part-time,2014/15,Scotland,10
Non-European Union,Kenya,Postgraduate (taught),All,2014/15,Scotland,85
Non-European Union,Kenya,All postgraduate,Full-time,2014/15,Scotland,85
Non-European Union,Kenya,All postgraduate,Part-time,2014/15,Scotland,15
Non-European Union,Kenya,All postgraduate,All,2014/15,Scotland,100
Non-European Union,"Gambia, The",Postgraduate (research),Full-time,2014/15,Scotland,5
Non-European Union,"Gambia, The",Postgraduate (research),Part-time,2014/15,Scotland,0
Non-European Union,"Gambia, The",Postgraduate (research),All,2014/15,Scotland,5
Non-European Union,"Gambia, The",Postgraduate (taught),Full-time,2014/15,Scotland,5
Non-European Union,"Gambia, The",Postgraduate (taught),Part-time,2014/15,Scotland,0
Non-European Union,"Gambia, The",Postgraduate (taught),All,2014/15,Scotland,5
Non-European Union,"Gambia, The",All postgraduate,Full-time,2014/15,Scotland,10
Non-European Union,"Gambia, The",All postgraduate,Part-time,2014/15,Scotland,5
Non-European Union,"Gambia, The",All postgraduate,All,2014/15,Scotland,10
Non-European Union,India,Postgraduate (research),Full-time,2014/15,Scotland,180
Non-European Union,India,Postgraduate (research),Part-time,2014/15,Scotland,25
Non-European Union,India,Postgraduate (research),All,2014/15,Scotland,205
Non-European Union,India,Postgraduate (taught),Full-time,2014/15,Scotland,715
Non-European Union,India,Postgraduate (taught),Part-time,2014/15,Scotland,85
Non-European Union,India,Postgraduate (taught),All,2014/15,Scotland,800
Non-European Union,India,All postgraduate,Full-time,2014/15,Scotland,895
Non-European Union,India,All postgraduate,Part-time,2014/15,Scotland,110
Non-European Union,India,All postgraduate,All,2014/15,Scotland,1005
Non-European Union,Pakistan,Postgraduate (research),Full-time,2014/15,Scotland,75
Non-European Union,Pakistan,Postgraduate (research),Part-time,2014/15,Scotland,10
Non-European Union,Pakistan,Postgraduate (research),All,2014/15,Scotland,85
Non-European Union,Pakistan,Postgraduate (taught),Full-time,2014/15,Scotland,170
Non-European Union,Pakistan,Postgraduate (taught),Part-time,2014/15,Scotland,60
Non-European Union,Pakistan,Postgraduate (taught),All,2014/15,Scotland,235
Non-European Union,Pakistan,All postgraduate,Full-time,2014/15,Scotland,245
Non-European Union,Pakistan,All postgraduate,Part-time,2014/15,Scotland,70
Non-European Union,Pakistan,All postgraduate,All,2014/15,Scotland,315
Non-European Union,Taiwan,Postgraduate (research),Full-time,2014/15,Scotland,45
Non-European Union,Taiwan,Postgraduate (research),Part-time,2014/15,Scotland,0
Non-European Union,Taiwan,Postgraduate (research),All,2014/15,Scotland,45
Non-European Union,Taiwan,Postgraduate (taught),Full-time,2014/15,Scotland,210
Non-European Union,Taiwan,Postgraduate (taught),Part-time,2014/15,Scotland,10
Non-European Union,Taiwan,Postgraduate (taught),All,2014/15,Scotland,220
Non-European Union,Taiwan,All postgraduate,Full-time,2014/15,Scotland,255
Non-European Union,Taiwan,All postgraduate,Part-time,2014/15,Scotland,10
Non-European Union,Taiwan,All postgraduate,All,2014/15,Scotland,265
Non-European Union,Thailand,Postgraduate (research),Full-time,2014/15,Scotland,90
Non-European Union,Thailand,Postgraduate (research),Part-time,2014/15,Scotland,0
Non-European Union,Thailand,Postgraduate (research),All,2014/15,Scotland,90
Non-European Union,Thailand,Postgraduate (taught),Full-time,2014/15,Scotland,360
Non-European Union,Thailand,Postgraduate (taught),Part-time,2014/15,Scotland,15
Non-European Union,Thailand,Postgraduate (taught),All,2014/15,Scotland,375
Non-European Union,Thailand,All postgraduate,Full-time,2014/15,Scotland,450
Non-European Union,Thailand,All postgraduate,Part-time,2014/15,Scotland,20
Non-European Union,Thailand,All postgraduate,All,2014/15,Scotland,465
Non-European Union,Japan,Postgraduate (research),Full-time,2014/15,Scotland,30
Non-European Union,Japan,Postgraduate (research),Part-time,2014/15,Scotland,5
Non-European Union,Japan,Postgraduate (research),All,2014/15,Scotland,35
Non-European Union,Japan,Postgraduate (taught),Full-time,2014/15,Scotland,80
Non-European Union,Japan,Postgraduate (taught),Part-time,2014/15,Scotland,10
Non-European Union,Japan,Postgraduate (taught),All,2014/15,Scotland,90
Non-European Union,Japan,All postgraduate,Full-time,2014/15,Scotland,110
Non-European Union,Japan,All postgraduate,Part-time,2014/15,Scotland,15
Non-European Union,Japan,All postgraduate,All,2014/15,Scotland,125
Non-European Union,Saudi Arabia,Postgraduate (research),Full-time,2014/15,Scotland,235
Non-European Union,Saudi Arabia,Postgraduate (research),Part-time,2014/15,Scotland,10
Non-European Union,Saudi Arabia,Postgraduate (research),All,2014/15,Scotland,250
Non-European Union,Saudi Arabia,Postgraduate (taught),Full-time,2014/15,Scotland,195
Non-European Union,Saudi Arabia,Postgraduate (taught),Part-time,2014/15,Scotland,35
Non-European Union,Saudi Arabia,Postgraduate (taught),All,2014/15,Scotland,230
Non-European Union,Saudi Arabia,All postgraduate,Full-time,2014/15,Scotland,430
Non-European Union,Saudi Arabia,All postgraduate,Part-time,2014/15,Scotland,45
Non-European Union,Saudi Arabia,All postgraduate,All,2014/15,Scotland,480
Non-European Union,Oman,Postgraduate (research),Full-time,2014/15,Scotland,50
Non-European Union,Oman,Postgraduate (research),Part-time,2014/15,Scotland,10
Non-European Union,Oman,Postgraduate (research),All,2014/15,Scotland,55
Non-European Union,Oman,Postgraduate (taught),Full-time,2014/15,Scotland,80
Non-European Union,Oman,Postgraduate (taught),Part-time,2014/15,Scotland,15
Non-European Union,Oman,Postgraduate (taught),All,2014/15,Scotland,95
Non-European Union,Oman,All postgraduate,Full-time,2014/15,Scotland,130
Non-European Union,Oman,All postgraduate,Part-time,2014/15,Scotland,25
Non-European Union,Oman,All postgraduate,All,2014/15,Scotland,150
Non-European Union,Kuwait,Postgraduate (research),Full-time,2014/15,Scotland,30
Non-European Union,Kuwait,Postgraduate (research),Part-time,2014/15,Scotland,5
Non-European Union,Kuwait,Postgraduate (research),All,2014/15,Scotland,35
Non-European Union,Kuwait,Postgraduate (taught),Full-time,2014/15,Scotland,35
Non-European Union,Kuwait,Postgraduate (taught),Part-time,2014/15,Scotland,5
Non-European Union,Kuwait,Postgraduate (taught),All,2014/15,Scotland,40
Non-European Union,Kuwait,All postgraduate,Full-time,2014/15,Scotland,65
Non-European Union,Kuwait,All postgraduate,Part-time,2014/15,Scotland,10
Non-European Union,Kuwait,All postgraduate,All,2014/15,Scotland,75
Non-European Union,Turkey,Postgraduate (research),Full-time,2014/15,Scotland,50
Non-European Union,Turkey,Postgraduate (research),Part-time,2014/15,Scotland,0
Non-European Union,Turkey,Postgraduate (research),All,2014/15,Scotland,50
Non-European Union,Turkey,Postgraduate (taught),Full-time,2014/15,Scotland,60
Non-European Union,Turkey,Postgraduate (taught),Part-time,2014/15,Scotland,10
Non-European Union,Turkey,Postgraduate (taught),All,2014/15,Scotland,70
Non-European Union,Turkey,All postgraduate,Full-time,2014/15,Scotland,110
Non-European Union,Turkey,All postgraduate,Part-time,2014/15,Scotland,10
Non-European Union,Turkey,All postgraduate,All,2014/15,Scotland,120
Non-European Union,Congo,Postgraduate (taught),Full-time,2015/16,Scotland,0
Non-European Union,Congo,Postgraduate (taught),Part-time,2015/16,Scotland,0
Non-European Union,Congo,Postgraduate (taught),All,2015/16,Scotland,0
Non-European Union,Congo,All postgraduate,Full-time,2015/16,Scotland,0
Non-European Union,Congo,All postgraduate,Part-time,2015/16,Scotland,0
Non-European Union,Congo,All postgraduate,All,2015/16,Scotland,0
Non-European Union,Congo (Democratic Republic) {formerly Zaire},Postgraduate (research),Full-time,2015/16,Scotland,0
Non-European Union,Congo (Democratic Republic) {formerly Zaire},Postgraduate (research),Part-time,2015/16,Scotland,0
Non-European Union,Congo (Democratic Republic) {formerly Zaire},Postgraduate (research),All,2015/16,Scotland,0
Non-European Union,Congo (Democratic Republic) {formerly Zaire},Postgraduate (taught),Full-time,2015/16,Scotland,0
Non-European Union,Congo (Democratic Republic) {formerly Zaire},Postgraduate (taught),Part-time,2015/16,Scotland,0
Non-European Union,Congo (Democratic Republic) {formerly Zaire},Postgraduate (taught),All,2015/16,Scotland,0
Non-European Union,Congo (Democratic Republic) {formerly Zaire},All postgraduate,Full-time,2015/16,Scotland,0
Non-European Union,Congo (Democratic Republic) {formerly Zaire},All postgraduate,Part-time,2015/16,Scotland,0
Non-European Union,Congo (Democratic Republic) {formerly Zaire},All postgraduate,All,2015/16,Scotland,0
Non-European Union,Ghana,Postgraduate (research),Full-time,2015/16,Scotland,35
Non-European Union,Ghana,Postgraduate (research),Part-time,2015/16,Scotland,5
Non-European Union,Ghana,Postgraduate (research),All,2015/16,Scotland,40
Non-European Union,Ghana,Postgraduate (taught),Full-time,2015/16,Scotland,145
Non-European Union,Ghana,Postgraduate (taught),Part-time,2015/16,Scotland,15
Non-European Union,Ghana,Postgraduate (taught),All,2015/16,Scotland,155
Non-European Union,Ghana,All postgraduate,Full-time,2015/16,Scotland,180
Non-European Union,Ghana,All postgraduate,Part-time,2015/16,Scotland,15
Non-European Union,Ghana,All postgraduate,All,2015/16,Scotland,195
Non-European Union,Nigeria,Postgraduate (research),Full-time,2015/16,Scotland,315
Non-European Union,Nigeria,Postgraduate (research),Part-time,2015/16,Scotland,15
Non-European Union,Nigeria,Postgraduate (research),All,2015/16,Scotland,335
Non-European Union,Nigeria,Postgraduate (taught),Full-time,2015/16,Scotland,785
Non-European Union,Nigeria,Postgraduate (taught),Part-time,2015/16,Scotland,120
Non-European Union,Nigeria,Postgraduate (taught),All,2015/16,Scotland,905
Non-European Union,Nigeria,All postgraduate,Full-time,2015/16,Scotland,1100
Non-European Union,Nigeria,All postgraduate,Part-time,2015/16,Scotland,140
Non-European Union,Nigeria,All postgraduate,All,2015/16,Scotland,1240
Non-European Union,China,Postgraduate (research),Full-time,2015/16,Scotland,600
Non-European Union,China,Postgraduate (research),Part-time,2015/16,Scotland,15
Non-European Union,China,Postgraduate (research),All,2015/16,Scotland,610
Non-European Union,China,Postgraduate (taught),Full-time,2015/16,Scotland,4615
Non-European Union,China,Postgraduate (taught),Part-time,2015/16,Scotland,75
Non-European Union,China,Postgraduate (taught),All,2015/16,Scotland,4690
Non-European Union,China,All postgraduate,Full-time,2015/16,Scotland,5215
Non-European Union,China,All postgraduate,Part-time,2015/16,Scotland,85
Non-European Union,China,All postgraduate,All,2015/16,Scotland,5300
Non-European Union,Kenya,Postgraduate (research),Full-time,2015/16,Scotland,15
Non-European Union,Kenya,Postgraduate (research),Part-time,2015/16,Scotland,0
Non-European Union,Kenya,Postgraduate (research),All,2015/16,Scotland,15
Non-European Union,Kenya,Postgraduate (taught),Full-time,2015/16,Scotland,60
Non-European Union,Kenya,Postgraduate (taught),Part-time,2015/16,Scotland,10
Non-European Union,Kenya,Postgraduate (taught),All,2015/16,Scotland,75
Non-European Union,Kenya,All postgraduate,Full-time,2015/16,Scotland,75
Non-European Union,Kenya,All postgraduate,Part-time,2015/16,Scotland,15
Non-European Union,Kenya,All postgraduate,All,2015/16,Scotland,90
Non-European Union,"Gambia, The",Postgraduate (research),Full-time,2015/16,Scotland,5
Non-European Union,"Gambia, The",Postgraduate (research),Part-time,2015/16,Scotland,0
Non-European Union,"Gambia, The",Postgraduate (research),All,2015/16,Scotland,5
Non-European Union,"Gambia, The",Postgraduate (taught),Full-time,2015/16,Scotland,5
Non-European Union,"Gambia, The",Postgraduate (taught),Part-time,2015/16,Scotland,0
Non-European Union,"Gambia, The",Postgraduate (taught),All,2015/16,Scotland,5
Non-European Union,"Gambia, The",All postgraduate,Full-time,2015/16,Scotland,10
Non-European Union,"Gambia, The",All postgraduate,Part-time,2015/16,Scotland,0
Non-European Union,"Gambia, The",All postgraduate,All,2015/16,Scotland,10
Non-European Union,India,Postgraduate (research),Full-time,2015/16,Scotland,190
Non-European Union,India,Postgraduate (research),Part-time,2015/16,Scotland,30
Non-European Union,India,Postgraduate (research),All,2015/16,Scotland,220
Non-European Union,India,Postgraduate (taught),Full-time,2015/16,Scotland,705
Non-European Union,India,Postgraduate (taught),Part-time,2015/16,Scotland,55
Non-European Union,India,Postgraduate (taught),All,2015/16,Scotland,760
Non-European Union,India,All postgraduate,Full-time,2015/16,Scotland,895
Non-European Union,India,All postgraduate,Part-time,2015/16,Scotland,85
Non-European Union,India,All postgraduate,All,2015/16,Scotland,980
Non-European Union,Pakistan,Postgraduate (research),Full-time,2015/16,Scotland,90
Non-European Union,Pakistan,Postgraduate (research),Part-time,2015/16,Scotland,10
Non-European Union,Pakistan,Postgraduate (research),All,2015/16,Scotland,95
Non-European Union,Pakistan,Postgraduate (taught),Full-time,2015/16,Scotland,165
Non-European Union,Pakistan,Postgraduate (taught),Part-time,2015/16,Scotland,40
Non-European Union,Pakistan,Postgraduate (taught),All,2015/16,Scotland,205
Non-European Union,Pakistan,All postgraduate,Full-time,2015/16,Scotland,255
Non-European Union,Pakistan,All postgraduate,Part-time,2015/16,Scotland,50
Non-European Union,Pakistan,All postgraduate,All,2015/16,Scotland,300
Non-European Union,Taiwan,Postgraduate (research),Full-time,2015/16,Scotland,40
Non-European Union,Taiwan,Postgraduate (research),Part-time,2015/16,Scotland,0
Non-European Union,Taiwan,Postgraduate (research),All,2015/16,Scotland,40
Non-European Union,Taiwan,Postgraduate (taught),Full-time,2015/16,Scotland,250
Non-European Union,Taiwan,Postgraduate (taught),Part-time,2015/16,Scotland,5
Non-European Union,Taiwan,Postgraduate (taught),All,2015/16,Scotland,255
Non-European Union,Taiwan,All postgraduate,Full-time,2015/16,Scotland,290
Non-European Union,Taiwan,All postgraduate,Part-time,2015/16,Scotland,5
Non-European Union,Taiwan,All postgraduate,All,2015/16,Scotland,295
Non-European Union,Thailand,Postgraduate (research),Full-time,2015/16,Scotland,85
Non-European Union,Thailand,Postgraduate (research),Part-time,2015/16,Scotland,0
Non-European Union,Thailand,Postgraduate (research),All,2015/16,Scotland,90
Non-European Union,Thailand,Postgraduate (taught),Full-time,2015/16,Scotland,355
Non-European Union,Thailand,Postgraduate (taught),Part-time,2015/16,Scotland,15
Non-European Union,Thailand,Postgraduate (taught),All,2015/16,Scotland,370
Non-European Union,Thailand,All postgraduate,Full-time,2015/16,Scotland,440
Non-European Union,Thailand,All postgraduate,Part-time,2015/16,Scotland,15
Non-European Union,Thailand,All postgraduate,All,2015/16,Scotland,455
Non-European Union,Japan,Postgraduate (research),Full-time,2015/16,Scotland,25
Non-European Union,Japan,Postgraduate (research),Part-time,2015/16,Scotland,5
Non-European Union,Japan,Postgraduate (research),All,2015/16,Scotland,35
Non-European Union,Japan,Postgraduate (taught),Full-time,2015/16,Scotland,65
Non-European Union,Japan,Postgraduate (taught),Part-time,2015/16,Scotland,10
Non-European Union,Japan,Postgraduate (taught),All,2015/16,Scotland,75
Non-European Union,Japan,All postgraduate,Full-time,2015/16,Scotland,90
Non-European Union,Japan,All postgraduate,Part-time,2015/16,Scotland,20
Non-European Union,Japan,All postgraduate,All,2015/16,Scotland,105
Non-European Union,Saudi Arabia,Postgraduate (research),Full-time,2015/16,Scotland,260
Non-European Union,Saudi Arabia,Postgraduate (research),Part-time,2015/16,Scotland,10
Non-European Union,Saudi Arabia,Postgraduate (research),All,2015/16,Scotland,265
Non-European Union,Saudi Arabia,Postgraduate (taught),Full-time,2015/16,Scotland,210
Non-European Union,Saudi Arabia,Postgraduate (taught),Part-time,2015/16,Scotland,35
Non-European Union,Saudi Arabia,Postgraduate (taught),All,2015/16,Scotland,245
Non-European Union,Saudi Arabia,All postgraduate,Full-time,2015/16,Scotland,470
Non-European Union,Saudi Arabia,All postgraduate,Part-time,2015/16,Scotland,45
Non-European Union,Saudi Arabia,All postgraduate,All,2015/16,Scotland,515
Non-European Union,Oman,Postgraduate (research),Full-time,2015/16,Scotland,50
Non-European Union,Oman,Postgraduate (research),Part-time,2015/16,Scotland,10
Non-European Union,Oman,Postgraduate (research),All,2015/16,Scotland,60
Non-European Union,Oman,Postgraduate (taught),Full-time,2015/16,Scotland,75
Non-European Union,Oman,Postgraduate (taught),Part-time,2015/16,Scotland,10
Non-European Union,Oman,Postgraduate (taught),All,2015/16,Scotland,85
Non-European Union,Oman,All postgraduate,Full-time,2015/16,Scotland,120
Non-European Union,Oman,All postgraduate,Part-time,2015/16,Scotland,20
Non-European Union,Oman,All postgraduate,All,2015/16,Scotland,145
Non-European Union,Kuwait,Postgraduate (research),Full-time,2015/16,Scotland,35
Non-European Union,Kuwait,Postgraduate (research),Part-time,2015/16,Scotland,5
Non-European Union,Kuwait,Postgraduate (research),All,2015/16,Scotland,40
Non-European Union,Kuwait,Postgraduate (taught),Full-time,2015/16,Scotland,25
Non-European Union,Kuwait,Postgraduate (taught),Part-time,2015/16,Scotland,10
Non-European Union,Kuwait,Postgraduate (taught),All,2015/16,Scotland,35
Non-European Union,Kuwait,All postgraduate,Full-time,2015/16,Scotland,60
Non-European Union,Kuwait,All postgraduate,Part-time,2015/16,Scotland,15
Non-European Union,Kuwait,All postgraduate,All,2015/16,Scotland,75
Non-European Union,Turkey,Postgraduate (research),Full-time,2015/16,Scotland,55
Non-European Union,Turkey,Postgraduate (research),Part-time,2015/16,Scotland,0
Non-European Union,Turkey,Postgraduate (research),All,2015/16,Scotland,60
Non-European Union,Turkey,Postgraduate (taught),Full-time,2015/16,Scotland,80
Non-European Union,Turkey,Postgraduate (taught),Part-time,2015/16,Scotland,10
Non-European Union,Turkey,Postgraduate (taught),All,2015/16,Scotland,90
Non-European Union,Turkey,All postgraduate,Full-time,2015/16,Scotland,135
Non-European Union,Turkey,All postgraduate,Part-time,2015/16,Scotland,10
Non-European Union,Turkey,All postgraduate,All,2015/16,Scotland,150
Non-European Union,Congo,All,Full-time,2016/17,Scotland,0
Non-European Union,Congo,All,Part-time,2016/17,Scotland,0
Non-European Union,Congo,All,All,2016/17,Scotland,0
Non-European Union,Congo,Postgraduate (taught),Full-time,2016/17,Scotland,0
Non-European Union,Congo,Postgraduate (taught),Part-time,2016/17,Scotland,0
Non-European Union,Congo,Postgraduate (taught),All,2016/17,Scotland,0
Non-European Union,Congo,All postgraduate,Full-time,2016/17,Scotland,0
Non-European Union,Congo,All postgraduate,Part-time,2016/17,Scotland,0
Non-European Union,Congo,All postgraduate,All,2016/17,Scotland,0
Non-European Union,Nigeria,All,Full-time,2016/17,Scotland,1110
Non-European Union,Nigeria,All,Part-time,2016/17,Scotland,155
Non-European Union,Nigeria,All,All,2016/17,Scotland,1265
Non-European Union,Nigeria,Postgraduate (research),Full-time,2016/17,Scotland,300
Non-European Union,Nigeria,Postgraduate (research),Part-time,2016/17,Scotland,15
Non-European Union,Nigeria,Postgraduate (research),All,2016/17,Scotland,315
Non-European Union,Nigeria,Postgraduate (taught),Full-time,2016/17,Scotland,565
Non-European Union,Nigeria,Postgraduate (taught),Part-time,2016/17,Scotland,105
Non-European Union,Nigeria,Postgraduate (taught),All,2016/17,Scotland,670
Non-European Union,Nigeria,All postgraduate,Full-time,2016/17,Scotland,865
Non-European Union,Nigeria,All postgraduate,Part-time,2016/17,Scotland,120
Non-European Union,Nigeria,All postgraduate,All,2016/17,Scotland,985
Non-European Union,China,All,Full-time,2016/17,Scotland,7920
Non-European Union,China,All,Part-time,2016/17,Scotland,555
Non-European Union,China,All,All,2016/17,Scotland,8475
Non-European Union,China,Postgraduate (research),Full-time,2016/17,Scotland,680
Non-European Union,China,Postgraduate (research),Part-time,2016/17,Scotland,20
Non-European Union,China,Postgraduate (research),All,2016/17,Scotland,700
Non-European Union,China,Postgraduate (taught),Full-time,2016/17,Scotland,4960
Non-European Union,China,Postgraduate (taught),Part-time,2016/17,Scotland,100
Non-European Union,China,Postgraduate (taught),All,2016/17,Scotland,5060
Non-European Union,China,All postgraduate,Full-time,2016/17,Scotland,5640
Non-European Union,China,All postgraduate,Part-time,2016/17,Scotland,125
Non-European Union,China,All postgraduate,All,2016/17,Scotland,5760
Non-European Union,Kenya,All,Full-time,2016/17,Scotland,165
Non-European Union,Kenya,All,Part-time,2016/17,Scotland,25
Non-European Union,Kenya,All,All,2016/17,Scotland,185
Non-European Union,Kenya,Postgraduate (research),Full-time,2016/17,Scotland,10
Non-European Union,Kenya,Postgraduate (research),Part-time,2016/17,Scotland,0
Non-European Union,Kenya,Postgraduate (research),All,2016/17,Scotland,15
Non-European Union,Kenya,Postgraduate (taught),Full-time,2016/17,Scotland,70
Non-European Union,Kenya,Postgraduate (taught),Part-time,2016/17,Scotland,15
Non-European Union,Kenya,Postgraduate (taught),All,2016/17,Scotland,85
Non-European Union,Kenya,All postgraduate,Full-time,2016/17,Scotland,80
Non-European Union,Kenya,All postgraduate,Part-time,2016/17,Scotland,20
Non-European Union,Kenya,All postgraduate,All,2016/17,Scotland,100
Non-European Union,"Gambia, The",All,Full-time,2016/17,Scotland,20
Non-European Union,"Gambia, The",All,Part-time,2016/17,Scotland,0
Non-European Union,"Gambia, The",All,All,2016/17,Scotland,20
Non-European Union,"Gambia, The",Postgraduate (research),Full-time,2016/17,Scotland,0
Non-European Union,"Gambia, The",Postgraduate (research),Part-time,2016/17,Scotland,0
Non-European Union,"Gambia, The",Postgraduate (research),All,2016/17,Scotland,0
Non-European Union,"Gambia, The",Postgraduate (taught),Full-time,2016/17,Scotland,5
Non-European Union,"Gambia, The",Postgraduate (taught),Part-time,2016/17,Scotland,0
Non-European Union,"Gambia, The",Postgraduate (taught),All,2016/17,Scotland,5
Non-European Union,"Gambia, The",All postgraduate,Full-time,2016/17,Scotland,10
Non-European Union,"Gambia, The",All postgraduate,Part-time,2016/17,Scotland,0
Non-European Union,"Gambia, The",All postgraduate,All,2016/17,Scotland,10
Non-European Union,India,All,Full-time,2016/17,Scotland,1330
Non-European Union,India,All,Part-time,2016/17,Scotland,95
Non-European Union,India,All,All,2016/17,Scotland,1425
Non-European Union,India,Postgraduate (research),Full-time,2016/17,Scotland,195
Non-European Union,India,Postgraduate (research),Part-time,2016/17,Scotland,20
Non-European Union,India,Postgraduate (research),All,2016/17,Scotland,220
Non-European Union,India,Postgraduate (taught),Full-time,2016/17,Scotland,730
Non-European Union,India,Postgraduate (taught),Part-time,2016/17,Scotland,50
Non-European Union,India,Postgraduate (taught),All,2016/17,Scotland,780
Non-European Union,India,All postgraduate,Full-time,2016/17,Scotland,925
Non-European Union,India,All postgraduate,Part-time,2016/17,Scotland,70
Non-European Union,India,All postgraduate,All,2016/17,Scotland,1000
Non-European Union,Pakistan,All,Full-time,2016/17,Scotland,525
Non-European Union,Pakistan,All,Part-time,2016/17,Scotland,45
Non-European Union,Pakistan,All,All,2016/17,Scotland,570
Non-European Union,Pakistan,Postgraduate (research),Full-time,2016/17,Scotland,105
Non-European Union,Pakistan,Postgraduate (research),Part-time,2016/17,Scotland,5
Non-European Union,Pakistan,Postgraduate (research),All,2016/17,Scotland,110
Non-European Union,Pakistan,Postgraduate (taught),Full-time,2016/17,Scotland,210
Non-European Union,Pakistan,Postgraduate (taught),Part-time,2016/17,Scotland,30
Non-European Union,Pakistan,Postgraduate (taught),All,2016/17,Scotland,240
Non-European Union,Pakistan,All postgraduate,Full-time,2016/17,Scotland,310
Non-European Union,Pakistan,All postgraduate,Part-time,2016/17,Scotland,35
Non-European Union,Pakistan,All postgraduate,All,2016/17,Scotland,350
Non-European Union,Taiwan,All,Full-time,2016/17,Scotland,355
Non-European Union,Taiwan,All,Part-time,2016/17,Scotland,15
Non-European Union,Taiwan,All,All,2016/17,Scotland,365
Non-European Union,Taiwan,Postgraduate (research),Full-time,2016/17,Scotland,35
Non-European Union,Taiwan,Postgraduate (research),Part-time,2016/17,Scotland,0
Non-European Union,Taiwan,Postgraduate (research),All,2016/17,Scotland,40
Non-European Union,Taiwan,Postgraduate (taught),Full-time,2016/17,Scotland,260
Non-European Union,Taiwan,Postgraduate (taught),Part-time,2016/17,Scotland,5
Non-European Union,Taiwan,Postgraduate (taught),All,2016/17,Scotland,265
Non-European Union,Taiwan,All postgraduate,Full-time,2016/17,Scotland,295
Non-European Union,Taiwan,All postgraduate,Part-time,2016/17,Scotland,5
Non-European Union,Taiwan,All postgraduate,All,2016/17,Scotland,305
