"Fiscal_Year","Country","HE.Provider","Level.Of.Study","Mode.Of..Study","Academic.Year","Visa.Code","Visa.Fee....","Visa.NHS.Charge....","Visa.After.Graduation","Visa.Work.Requirements.After.Graduation","Salary.Requirements","Dependents.Allowed","Visa.Fee..Dependents","Visa.NHS.Charge.Depen","HE.Provider.Term.1","HE.Provider.Term.2","Enrollment","FX_Rate","Growth.Indicator","Value","Tuition_Av"
"2014","Gambia","Abertay University","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,65.97,"GDP ",-1.407382495,13000
"2014","Gambia","Abertay University","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,65.97,"Inflation ",5.211723107,13000
"2014","Gambia","Edinburgh Napier University","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,65.97,"GDP ",-1.407382495,14000
"2014","Gambia","Edinburgh Napier University","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,65.97,"Inflation ",5.211723107,14000
"2014","Gambia","Edinburgh Napier University","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,65.97,"GDP ",-1.407382495,14000
"2014","Gambia","Edinburgh Napier University","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,65.97,"Inflation ",5.211723107,14000
"2014","Gambia","Glasgow Caledonian University","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,65.97,"GDP ",-1.407382495,14500
"2014","Gambia","Glasgow Caledonian University","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,65.97,"Inflation ",5.211723107,14500
"2014","Gambia","Glasgow Caledonian University","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,65.97,"GDP ",-1.407382495,14500
"2014","Gambia","Glasgow Caledonian University","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,65.97,"Inflation ",5.211723107,14500
"2014","Gambia","Glasgow School of Art","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,65.97,"GDP ",-1.407382495,17500
"2014","Gambia","Glasgow School of Art","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,65.97,"Inflation ",5.211723107,17500
"2014","Gambia","Glasgow School of Art","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,65.97,"GDP ",-1.407382495,17500
"2014","Gambia","Glasgow School of Art","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,65.97,"Inflation ",5.211723107,17500
"2014","Gambia","Heriot-Watt University","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,65.97,"GDP ",-1.407382495,17250
"2014","Gambia","Heriot-Watt University","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,65.97,"Inflation ",5.211723107,17250
"2014","Gambia","Heriot-Watt University","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,65.97,"GDP ",-1.407382495,17250
"2014","Gambia","Heriot-Watt University","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,65.97,"Inflation ",5.211723107,17250
"2014","Gambia","Queen Margaret University, Edinburgh","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,65.97,"GDP ",-1.407382495,13750
"2014","Gambia","Queen Margaret University, Edinburgh","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,65.97,"Inflation ",5.211723107,13750
"2014","Gambia","Queen Margaret University, Edinburgh","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,65.97,"GDP ",-1.407382495,13750
"2014","Gambia","Queen Margaret University, Edinburgh","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,65.97,"Inflation ",5.211723107,13750
"2014","Gambia","Robert Gordon University","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,65.97,"GDP ",-1.407382495,14500
"2014","Gambia","Robert Gordon University","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,65.97,"Inflation ",5.211723107,14500
"2014","Gambia","Robert Gordon University","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,65.97,"GDP ",-1.407382495,14500
"2014","Gambia","Robert Gordon University","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,65.97,"Inflation ",5.211723107,14500
"2014","Gambia","Royal Conservatoire of Scotland","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,65.97,"GDP ",-1.407382495,18500
"2014","Gambia","Royal Conservatoire of Scotland","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,65.97,"Inflation ",5.211723107,18500
"2014","Gambia","Royal Conservatoire of Scotland","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,65.97,"GDP ",-1.407382495,18500
"2014","Gambia","Royal Conservatoire of Scotland","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,65.97,"Inflation ",5.211723107,18500
"2014","Gambia","SRUC","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,65.97,"GDP ",-1.407382495,13000
"2014","Gambia","SRUC","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,65.97,"Inflation ",5.211723107,13000
"2014","Gambia","SRUC","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,65.97,"GDP ",-1.407382495,13000
"2014","Gambia","SRUC","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,65.97,"Inflation ",5.211723107,13000
"2014","Gambia","The University of Dundee","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,65.97,"GDP ",-1.407382495,15500
